armed,age,gender,is_black,city,signs_of_mental_illness,threat,flee,body_camera,population,percent_completed_hs,poverty_rate,median_income,share_black,share_not_black
Yes,21,M,No,"Denver, CO",No,Yes,Yes,No,694802,86.1,17.3,53637,10.2,89.8
Yes,23,M,No,"Denver, CO",No,Yes,Yes,No,694802,86.1,17.3,53637,10.2,89.8
Yes,36,F,No,"Denver, CO",No,Yes,Yes,No,694802,86.1,17.3,53637,10.2,89.8
Yes,68,M,No,"New Hope, MN",Yes,Yes,No,No,20925,89.7,12.0,50165,14.7,85.3
No,24,M,No,"Tahoka, TX",No,Yes,Yes,No,2587,84.6,18.3,39313,3.9,96.1
Yes,34,M,No,"Wasco, CA",Yes,Yes,No,No,26446,51.1,32.7,39580,7.6,92.4
Yes,26,M,No,"Phoenix, AZ",No,Yes,No,No,1609816,80.7,23.1,47326,6.5,93.5
Yes,29,M,No,"Phoenix, AZ",No,Yes,No,No,1609816,80.7,23.1,47326,6.5,93.5
Yes,51,M,No,"Phoenix, AZ",Yes,Yes,No,No,1609816,80.7,23.1,47326,6.5,93.5
Yes,43,M,No,"Phoenix, AZ",Yes,Yes,No,No,1609816,80.7,23.1,47326,6.5,93.5
Yes,68,M,No,"Phoenix, AZ",No,Yes,Yes,No,1609816,80.7,23.1,47326,6.5,93.5
Yes,46,M,No,"Phoenix, AZ",No,Yes,No,No,1609816,80.7,23.1,47326,6.5,93.5
Yes,45,M,No,"Phoenix, AZ",No,Yes,No,No,1609816,80.7,23.1,47326,6.5,93.5
Yes,41,M,No,"Phoenix, AZ",Yes,Yes,No,No,1609816,80.7,23.1,47326,6.5,93.5
Yes,39,M,No,"Phoenix, AZ",Yes,Yes,No,No,1609816,80.7,23.1,47326,6.5,93.5
Yes,36,F,No,"Phoenix, AZ",Yes,Yes,Yes,No,1609816,80.7,23.1,47326,6.5,93.5
Yes,26,M,No,"Phoenix, AZ",Yes,Yes,No,No,1609816,80.7,23.1,47326,6.5,93.5
Yes,27,M,No,"Phoenix, AZ",No,Yes,Yes,No,1609816,80.7,23.1,47326,6.5,93.5
Yes,43,M,No,"Phoenix, AZ",No,Yes,No,Yes,1609816,80.7,23.1,47326,6.5,93.5
Yes,20,M,No,"Phoenix, AZ",No,Yes,No,No,1609816,80.7,23.1,47326,6.5,93.5
Yes,36,M,No,"Phoenix, AZ",No,Yes,No,No,1609816,80.7,23.1,47326,6.5,93.5
